college_code,college_clean,branch_canonical,category,mean_cutoff,min_cutoff,max_cutoff,std_cutoff,n_years,latest_cutoff,trend,predicted_2026
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,GMK,3799.0,3799,3799,0.0,1,3799,410.49999995895,4209
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,GMR,2668.0,2668,2668,0.0,1,2668,741.89999992581,3410
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,SCG,9515.0,9515,9515,0.0,1,9515,3676.79999963232,13192
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,SCR,14016.0,14016,14016,0.0,1,14016,2510.39999974896,16526
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,STG,7407.0,7407,7407,0.0,1,7407,3502.39999964976,10909
E001,University of Visvesvaraya College of Engineering Bangalore,COMPUTER SCIENCE AND ENGINEERING,STR,11150.0,11150,11150,0.0,1,11150,3263.9999996736,14414
E001,University of Visvesvaraya College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,1G,28948.0,28948,28948,0.0,1,28948,278.19999997218,29226
E001,University of Visvesvaraya College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,2AG,21923.0,21923,21923,0.0,1,21923,1459.79999985402,23383
E001,University of Visvesvaraya College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,2AK,29444.0,29444,29444,0.0,1,29444,-245.09999995098,29199
E001,University of Visvesvaraya College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,2AR,27371.0,27371,27371,0.0,1,27371,3408.49999965915,30779
E001,University of Visvesvaraya College of Engineering Bangalore,ELECTRICAL & ELECTRONICS ENGINEERING,2BG,22746.0,22746,22746,0.0,1,22746,2667.79999973322,25414
